,address,address_point,school_address,school_point,distance,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total
0,North Cape,"(-34.5054527643316, 172.775549967099)",North Cape,"(-34.5054527643316, 172.775549967099)",0.0,27,0,45,0,0,12,60,0,0,0,147
1,Rangaunu Harbour,"(-34.9162774394026, 173.137442823842)",Rangaunu Harbour,"(-34.9162774394026, 173.137442823842)",0.0,54,0,42,0,0,0,42,0,0,0,147
2,Karikari Peninsula,"(-34.995278160775, 173.378738365012)",Karikari Peninsula,"(-34.995278160775, 173.378738365012)",0.0,12,0,18,0,0,0,24,0,0,0,54
3,Tangonge,"(-35.1231472715024, 173.218604066373)",Tangonge,"(-35.1231472715024, 173.218604066373)",0.0,15,0,12,0,0,0,15,0,0,0,45
4,Ahipara,"(-35.1595169664155, 173.160919377723)",Ahipara,"(-35.1595169664155, 173.160919377723)",0.0,9,0,9,0,0,0,0,0,0,0,27
5,Kaitaia East,"(-35.1038347719374, 173.264143021592)",Kaitaia East,"(-35.1038347719374, 173.264143021592)",0.0,27,9,30,0,0,21,27,0,0,0,120
6,Kaitaia West,"(-35.1217817028019, 173.267173968337)",Kaitaia West,"(-35.1217817028019, 173.267173968337)",0.0,60,9,99,0,0,99,0,0,0,0,276
7,Rangitihi,"(-35.1278500096564, 173.311222404552)",Rangitihi,"(-35.1278500096564, 173.311222404552)",0.0,27,0,6,0,0,0,15,0,0,0,48
8,Oruru-Parapara,"(-35.0333174929698, 173.46127558915)",Oruru-Parapara,"(-35.0333174929698, 173.46127558915)",0.0,18,0,0,0,0,0,0,0,0,0,18
9,Taumarumaru,"(-34.9967268249722, 173.507744017992)",Taumarumaru,"(-34.9967268249722, 173.507744017992)",0.0,27,0,45,0,0,15,27,0,0,0,114
10,Herekino-Takahue,"(-35.1896425410287, 173.372407449191)",Herekino-Takahue,"(-35.1896425410287, 173.372407449191)",0.0,12,0,0,0,0,0,9,0,0,0,24
11,Peria,"(-35.1240774682821, 173.448137917866)",Peria,"(-35.1240774682821, 173.448137917866)",0.0,18,0,0,0,0,0,15,0,0,0,39
12,Taemaro-Oruaiti,"(-35.0253512272344, 173.578903768601)",Taemaro-Oruaiti,"(-35.0253512272344, 173.578903768601)",0.0,18,0,9,0,0,0,0,0,0,0,33
13,Whakapaku,"(-35.0498769769948, 173.66299854915)",Whakapaku,"(-35.0498769769948, 173.66299854915)",0.0,15,0,15,0,0,0,0,0,0,0,27
14,Hokianga North,"(-35.3685089698218, 173.338400979241)",Hokianga North,"(-35.3685089698218, 173.338400979241)",0.0,0,0,6,0,0,0,30,0,0,0,51
15,Kohukohu-Broadwood,"(-35.2900686337796, 173.463626681832)",Kohukohu-Broadwood,"(-35.2900686337796, 173.463626681832)",0.0,18,0,9,0,0,6,24,0,0,0,57
16,Whakarara,"(-35.0629132968671, 173.849913120966)",Whakarara,"(-35.0629132968671, 173.849913120966)",0.0,18,0,9,0,0,12,18,0,0,0,60
17,Kaeo,"(-35.154103152171, 173.743319678638)",Kaeo,"(-35.154103152171, 173.743319678638)",0.0,27,0,15,0,0,0,24,0,0,0,78
18,Omahuta Forest-Horeke,"(-35.2883437454517, 173.617802476342)",Omahuta Forest-Horeke,"(-35.2883437454517, 173.617802476342)",0.0,18,0,6,0,0,0,12,0,0,0,42
19,Hokianga South,"(-35.4680138690759, 173.484387026095)",Hokianga South,"(-35.4680138690759, 173.484387026095)",0.0,18,0,12,0,0,15,12,0,0,0,63
20,Lake Manuwai-Kapiro,"(-35.182673242285, 173.865350131607)",Lake Manuwai-Kapiro,"(-35.182673242285, 173.865350131607)",0.0,27,0,12,0,0,0,0,0,0,0,39
21,Okaihau,"(-35.2866115918586, 173.790815552075)",Okaihau,"(-35.2866115918586, 173.790815552075)",0.0,18,0,12,0,0,27,48,0,0,0,111
22,Rangitane-Purerua,"(-35.1341833083267, 173.939143102298)",Rangitane-Purerua,"(-35.1341833083267, 173.939143102298)",0.0,30,0,12,0,0,0,12,0,0,0,54
23,Waipapa,"(-35.2099337956037, 173.918413959211)",Waipapa,"(-35.2099337956037, 173.918413959211)",0.0,18,0,0,0,0,0,0,0,0,0,18
24,Puketotara,"(-35.2517627982655, 173.903307529198)",Puketotara,"(-35.2517627982655, 173.903307529198)",0.0,33,0,21,0,0,0,0,0,0,0,63
25,Waima Forest,"(-35.4871663780762, 173.629526324948)",Waima Forest,"(-35.4871663780762, 173.629526324948)",0.0,15,0,0,0,0,0,0,0,0,0,27
26,Riverview,"(-35.2080596201954, 173.962434198985)",Riverview,"(-35.2080596201954, 173.962434198985)",0.0,27,0,75,0,9,27,0,0,0,0,138
27,Waipoua Forest,"(-35.5812843552441, 173.51134901714)",Waipoua Forest,"(-35.5812843552441, 173.51134901714)",0.0,21,0,15,0,0,0,27,0,0,0,66
28,Kerikeri Central,"(-35.2250730934155, 173.950963038966)",Kerikeri Central,"(-35.2250730934155, 173.950963038966)",0.0,30,0,87,0,9,114,0,0,0,0,252
29,Kerikeri South,"(-35.2463988400324, 173.957787401371)",Kerikeri South,"(-35.2463988400324, 173.957787401371)",0.0,48,0,0,0,0,0,0,0,0,0,48
30,Ohaeawai-Waimate North,"(-35.3352090378143, 173.859923724124)",Ohaeawai-Waimate North,"(-35.3352090378143, 173.859923724124)",0.0,15,0,27,0,0,0,6,0,0,0,54
31,Puketona-Waitangi,"(-35.2799182180276, 174.000952464783)",Puketona-Waitangi,"(-35.2799182180276, 174.000952464783)",0.0,18,0,21,0,0,0,0,0,0,0,42
32,Ngapuhi,"(-35.4228325980918, 173.765348346736)",Ngapuhi,"(-35.4228325980918, 173.765348346736)",0.0,30,0,0,0,0,0,0,0,0,0,30
33,Kaikohe,"(-35.4079242227401, 173.797675162704)",Kaikohe,"(-35.4079242227401, 173.797675162704)",0.0,69,27,189,0,0,204,0,0,0,6,504
34,Pakaraka,"(-35.3674663468183, 173.984462871579)",Pakaraka,"(-35.3674663468183, 173.984462871579)",0.0,18,0,0,0,0,0,0,0,0,0,24
35,Haruru,"(-35.2793263636274, 174.059212683747)",Haruru,"(-35.2793263636274, 174.059212683747)",0.0,21,0,0,0,0,0,0,0,0,0,24
36,Russell,"(-35.256537621232, 174.124466129521)",Russell,"(-35.256537621232, 174.124466129521)",0.0,12,0,12,0,0,18,0,0,0,0,45
37,Paihia,"(-35.2860989556669, 174.093117922913)",Paihia,"(-35.2860989556669, 174.093117922913)",0.0,18,0,15,0,0,15,18,0,0,0,66
38,Mataraua Forest,"(-35.5471552652577, 173.805365160792)",Mataraua Forest,"(-35.5471552652577, 173.805365160792)",0.0,9,0,0,0,0,0,18,0,0,0,27
39,Matawaia-Taumarere,"(-35.4940640483593, 173.952663066852)",Matawaia-Taumarere,"(-35.4940640483593, 173.952663066852)",0.0,12,0,0,0,0,0,0,0,0,0,12
40,Russell Peninsula,"(-35.2867910624543, 174.162281844005)",Russell Peninsula,"(-35.2867910624543, 174.162281844005)",0.0,6,0,0,0,0,0,0,0,0,0,6
41,Opua (Far North District),"(-35.3227022884911, 174.100026046345)",Opua (Far North District),"(-35.3227022884911, 174.100026046345)",0.0,18,0,24,0,0,0,0,0,0,0,42
42,Russell Forest-Rawhiti,"(-35.3687917449512, 174.226060343274)",Russell Forest-Rawhiti,"(-35.3687917449512, 174.226060343274)",0.0,9,0,0,0,0,0,9,0,0,0,30
43,Moerewa,"(-35.3837217625385, 174.025170657513)",Moerewa,"(-35.3837217625385, 174.025170657513)",0.0,27,0,30,0,0,36,9,0,0,0,105
44,Kawakawa,"(-35.378976739744, 174.075755044243)",Kawakawa,"(-35.378976739744, 174.075755044243)",0.0,24,0,42,0,0,60,6,0,0,0,138
45,Maromaku,"(-35.4782553557059, 174.141327595982)",Maromaku,"(-35.4782553557059, 174.141327595982)",0.0,18,0,15,0,0,0,18,0,0,0,57
46,Mangakahia-Hukerenui,"(-35.6530195527594, 174.002316403156)",Mangakahia-Hukerenui,"(-35.6530195527594, 174.002316403156)",0.0,42,0,12,0,0,6,57,0,0,0,114
47,Whangaruru,"(-35.4899199940201, 174.335011301275)",Whangaruru,"(-35.4899199940201, 174.335011301275)",0.0,51,0,6,0,0,9,45,0,0,0,111
48,Matarau,"(-35.6672874844791, 174.209871574182)",Matarau,"(-35.6672874844791, 174.209871574182)",0.0,60,0,96,0,0,6,51,0,0,0,216
49,Hikurangi,"(-35.5944827981287, 174.2871617517)",Hikurangi,"(-35.5944827981287, 174.2871617517)",0.0,18,0,51,0,12,51,0,0,0,0,132
50,Kauri,"(-35.6294436685506, 174.28665672124)",Kauri,"(-35.6294436685506, 174.28665672124)",0.0,12,0,63,0,0,6,0,0,0,0,84
51,Maungatapere,"(-35.7620637103629, 174.154737291377)",Maungatapere,"(-35.7620637103629, 174.154737291377)",0.0,66,0,180,0,0,27,78,0,0,0,351
52,Kamo West,"(-35.6700647555389, 174.29507451879)",Kamo West,"(-35.6700647555389, 174.29507451879)",0.0,27,0,51,0,0,36,0,0,0,0,117
53,Matapouri-Tutukaka,"(-35.5979283192852, 174.478022265969)",Matapouri-Tutukaka,"(-35.5979283192852, 174.478022265969)",0.0,30,0,0,0,0,0,0,0,0,0,30
54,Kiripaka,"(-35.6467495808253, 174.402874232051)",Kiripaka,"(-35.6467495808253, 174.402874232051)",0.0,15,0,15,0,0,0,0,0,0,0,36
55,Kamo East,"(-35.67747272546, 174.309802457407)",Kamo East,"(-35.67747272546, 174.309802457407)",0.0,42,0,63,0,0,24,0,0,0,0,126
56,Granfield Reserve,"(-35.6901506506033, 174.295058234125)",Granfield Reserve,"(-35.6901506506033, 174.295058234125)",0.0,48,0,27,0,0,15,0,0,0,0,90
57,Kamo Central,"(-35.684862548829, 174.304915519315)",Kamo Central,"(-35.684862548829, 174.304915519315)",0.0,24,0,12,0,0,57,0,0,0,0,93
58,Whau Valley,"(-35.7052007957677, 174.29580182255)",Whau Valley,"(-35.7052007957677, 174.29580182255)",0.0,39,0,6,0,0,12,0,0,0,0,60
59,Tikipunga North,"(-35.6808513630826, 174.323047719497)",Tikipunga North,"(-35.6808513630826, 174.323047719497)",0.0,36,0,39,0,0,54,0,0,0,0,135
60,Pukenui,"(-35.7464466847373, 174.255022982635)",Pukenui,"(-35.7464466847373, 174.255022982635)",0.0,33,0,87,0,0,33,15,0,0,0,171
61,Otangarei,"(-35.6932977614664, 174.317699628016)",Otangarei,"(-35.6932977614664, 174.317699628016)",0.0,18,0,0,0,0,21,0,0,0,0,45
62,Tikipunga South,"(-35.6945773120808, 174.33166497108)",Tikipunga South,"(-35.6945773120808, 174.33166497108)",0.0,57,0,0,0,0,0,0,0,0,0,66
63,Kensington (Whangarei District),"(-35.7131013720337, 174.308332346842)",Kensington (Whangarei District),"(-35.7131013720337, 174.308332346842)",0.0,54,0,18,0,0,0,0,0,0,0,78
64,Abbey Caves-Glenbervie,"(-35.7039902527805, 174.361229362305)",Abbey Caves-Glenbervie,"(-35.7039902527805, 174.361229362305)",0.0,18,0,42,0,0,0,9,0,0,0,69
65,Mairtown,"(-35.7045142536357, 174.324304533576)",Mairtown,"(-35.7045142536357, 174.324304533576)",0.0,39,0,0,0,0,0,0,0,0,0,42
66,Maunu-Horahora,"(-35.7375713593824, 174.290371273338)",Maunu-Horahora,"(-35.7375713593824, 174.290371273338)",0.0,60,0,24,0,0,12,0,0,0,0,102
67,Woodhill-Vinetown,"(-35.7270350034189, 174.309552641214)",Woodhill-Vinetown,"(-35.7270350034189, 174.309552641214)",0.0,45,0,18,0,0,0,0,0,0,0,66
68,Whangarei Central,"(-35.7284699468918, 174.324303218891)",Whangarei Central,"(-35.7284699468918, 174.324303218891)",0.0,9,0,6,0,0,33,0,0,0,0,51
69,Riverside,"(-35.7259937476352, 174.339645548961)",Riverside,"(-35.7259937476352, 174.339645548961)",0.0,36,0,6,0,0,0,0,0,0,0,45
70,Raumanga,"(-35.7496880434782, 174.298963023356)",Raumanga,"(-35.7496880434782, 174.298963023356)",0.0,51,0,30,0,0,27,0,0,0,0,108
71,Tarewa,"(-35.7418304968564, 174.309037566487)",Tarewa,"(-35.7418304968564, 174.309037566487)",0.0,18,15,6,0,0,15,0,0,0,0,57
72,Morningside (Whangarei District),"(-35.7363877643399, 174.320056733565)",Morningside (Whangarei District),"(-35.7363877643399, 174.320056733565)",0.0,36,0,39,0,0,24,0,0,0,0,99
73,Ngunguru,"(-35.624625009059, 174.514743892461)",Ngunguru,"(-35.624625009059, 174.514743892461)",0.0,21,0,51,0,24,27,24,0,0,0,147
74,Otaika-Portland,"(-35.7810475837077, 174.285755800832)",Otaika-Portland,"(-35.7810475837077, 174.285755800832)",0.0,21,0,42,0,0,0,0,0,0,0,66
75,Oakleigh-Mangapai,"(-35.8958869550758, 174.21595620736)",Oakleigh-Mangapai,"(-35.8958869550758, 174.21595620736)",0.0,48,0,57,0,0,9,153,0,0,0,273
76,Pataua,"(-35.696951950762, 174.427944250944)",Pataua,"(-35.696951950762, 174.427944250944)",0.0,27,0,0,0,0,0,0,0,0,0,27
77,Onerahi Park,"(-35.752464246045, 174.372598288183)",Onerahi Park,"(-35.752464246045, 174.372598288183)",0.0,21,0,6,0,0,0,0,0,0,0,30
78,Sherwood Rise,"(-35.7486833976949, 174.361807400575)",Sherwood Rise,"(-35.7486833976949, 174.361807400575)",0.0,45,0,0,0,0,0,0,0,0,0,48
79,Onerahi,"(-35.7661749677456, 174.363527000614)",Onerahi,"(-35.7661749677456, 174.363527000614)",0.0,33,0,60,0,0,51,0,0,0,0,147
80,Parua Bay,"(-35.7600184457819, 174.428122574563)",Parua Bay,"(-35.7600184457819, 174.428122574563)",0.0,45,0,105,0,0,33,36,0,0,0,225
81,Bream Bay,"(-35.9149680111562, 174.383903188392)",Bream Bay,"(-35.9149680111562, 174.383903188392)",0.0,27,0,18,0,0,0,27,0,0,0,75
82,Marsden Bay,"(-35.8434432278654, 174.486868976444)",Marsden Bay,"(-35.8434432278654, 174.486868976444)",0.0,24,0,57,0,15,15,24,0,0,0,135
83,Ruakaka,"(-35.8786962341749, 174.457274976055)",Ruakaka,"(-35.8786962341749, 174.457274976055)",0.0,33,0,30,0,0,57,24,0,0,0,153
84,Bream Head,"(-35.8191311174678, 174.535918752899)",Bream Head,"(-35.8191311174678, 174.535918752899)",0.0,42,0,39,0,0,0,21,0,0,0,111
85,Waipu,"(-36.0333041236323, 174.45082084737)",Waipu,"(-36.0333041236323, 174.45082084737)",0.0,39,0,87,0,0,12,60,0,0,0,198
86,Kaipara Coastal,"(-35.7290018131257, 173.651242894448)",Kaipara Coastal,"(-35.7290018131257, 173.651242894448)",0.0,72,0,15,0,0,15,57,0,0,0,168
87,Maungaru,"(-35.876962872482, 173.970891532516)",Maungaru,"(-35.876962872482, 173.970891532516)",0.0,33,0,18,0,0,0,45,0,0,0,96
88,Dargaville,"(-35.9392015813502, 173.865240446894)",Dargaville,"(-35.9392015813502, 173.865240446894)",0.0,75,9,249,0,15,189,9,0,0,6,549
89,Ruawai-Matakohe,"(-36.0847705929162, 174.146497814786)",Ruawai-Matakohe,"(-36.0847705929162, 174.146497814786)",0.0,33,0,66,0,0,21,111,0,0,0,231
90,Otamatea (Kaipara District),"(-36.2062241063147, 174.323319960927)",Otamatea (Kaipara District),"(-36.2062241063147, 174.323319960927)",0.0,48,0,0,0,0,0,15,0,0,0,69
91,Maungaturoto,"(-36.1095245801138, 174.346939161641)",Maungaturoto,"(-36.1095245801138, 174.346939161641)",0.0,15,0,93,0,0,57,27,0,0,0,192
92,Kaiwaka,"(-36.2014473846109, 174.419543691649)",Kaiwaka,"(-36.2014473846109, 174.419543691649)",0.0,33,0,48,0,0,6,39,0,0,0,129
93,Mangawhai Rural,"(-36.1173827619587, 174.54557961114)",Mangawhai Rural,"(-36.1173827619587, 174.54557961114)",0.0,42,0,0,0,0,0,0,0,0,0,42
94,Mangawhai Heads,"(-36.0944202743657, 174.584066655292)",Mangawhai Heads,"(-36.0944202743657, 174.584066655292)",0.0,27,0,0,0,0,0,0,0,0,0,27
95,Mangawhai,"(-36.1248629663319, 174.57648718185)",Mangawhai,"(-36.1248629663319, 174.57648718185)",0.0,9,0,27,0,12,24,0,0,0,0,75
96,Okahukura Peninsula,"(-36.3161433664352, 174.478316387992)",Okahukura Peninsula,"(-36.3161433664352, 174.478316387992)",0.0,39,0,0,0,0,0,12,0,0,0,51
97,Cape Rodney,"(-36.2543382254981, 174.626380465955)",Cape Rodney,"(-36.2543382254981, 174.626380465955)",0.0,60,0,54,0,0,15,48,0,0,0,183
98,Wellsford,"(-36.292848301425, 174.521527818784)",Wellsford,"(-36.292848301425, 174.521527818784)",0.0,18,0,117,0,0,63,0,0,0,0,210
99,South Head,"(-36.5935320407266, 174.312273735217)",South Head,"(-36.5935320407266, 174.312273735217)",0.0,27,0,36,0,0,0,42,0,0,0,108
100,Kaipara Hills,"(-36.4634866336059, 174.488819472841)",Kaipara Hills,"(-36.4634866336059, 174.488819472841)",0.0,39,0,21,0,0,0,27,0,0,0,87
101,Dome Valley-Matakana,"(-36.340978150824, 174.686699214971)",Dome Valley-Matakana,"(-36.340978150824, 174.686699214971)",0.0,18,0,57,0,0,9,12,0,0,0,93
102,Warkworth West,"(-36.3889322799467, 174.651600731686)",Warkworth West,"(-36.3889322799467, 174.651600731686)",0.0,30,9,87,0,0,147,15,0,0,0,294
103,Puhoi Valley,"(-36.4685091206735, 174.624752333545)",Puhoi Valley,"(-36.4685091206735, 174.624752333545)",0.0,57,0,24,0,0,0,18,0,0,0,108
104,Warkworth East,"(-36.4052869176492, 174.667919425365)",Warkworth East,"(-36.4052869176492, 174.667919425365)",0.0,48,0,0,0,0,0,0,0,0,0,54
105,Sandspit,"(-36.397779007943, 174.698547245061)",Sandspit,"(-36.397779007943, 174.698547245061)",0.0,15,0,0,0,0,0,0,0,0,0,15
106,Tawharanui Peninsula,"(-36.365961810629, 174.791830128713)",Tawharanui Peninsula,"(-36.365961810629, 174.791830128713)",0.0,15,0,0,0,0,0,0,0,0,0,15
107,Te Kuru,"(-36.6034440257698, 174.483961163394)",Te Kuru,"(-36.6034440257698, 174.483961163394)",0.0,36,0,126,0,0,12,36,0,0,0,216
108,Snells Beach,"(-36.4202418404393, 174.725188706073)",Snells Beach,"(-36.4202418404393, 174.725188706073)",0.0,54,0,108,0,21,66,12,0,0,0,258
109,Barrier Islands,"(-36.201098013611, 175.423163674045)",Barrier Islands,"(-36.201098013611, 175.423163674045)",0.0,15,0,21,0,0,0,15,0,0,0,57
110,Algies Bay-Scotts Landing,"(-36.4569653731224, 174.746103718756)",Algies Bay-Scotts Landing,"(-36.4569653731224, 174.746103718756)",0.0,12,0,0,0,0,0,0,0,0,0,15
111,Wainui-Waiwera,"(-36.5851435521726, 174.563415094644)",Wainui-Waiwera,"(-36.5851435521726, 174.563415094644)",0.0,21,0,0,0,0,0,0,0,0,0,21
112,Parakai,"(-36.6576346249055, 174.435992889139)",Parakai,"(-36.6576346249055, 174.435992889139)",0.0,6,0,24,0,0,42,0,0,0,0,75
113,Helensville Rural,"(-36.6495234762322, 174.498699504037)",Helensville Rural,"(-36.6495234762322, 174.498699504037)",0.0,21,0,0,0,0,0,0,0,0,0,21
114,Helensville,"(-36.6749691482893, 174.454252722294)",Helensville,"(-36.6749691482893, 174.454252722294)",0.0,39,0,147,0,0,177,0,0,0,0,372
115,Waitoki,"(-36.6373475895948, 174.584234625916)",Waitoki,"(-36.6373475895948, 174.584234625916)",0.0,18,0,27,0,0,0,0,0,0,0,51
116,Waikoukou Valley,"(-36.7098919809039, 174.515741106192)",Waikoukou Valley,"(-36.7098919809039, 174.515741106192)",0.0,18,0,0,0,0,0,0,0,0,0,18
117,Orewa North,"(-36.5810886539593, 174.675864633945)",Orewa North,"(-36.5810886539593, 174.675864633945)",0.0,42,0,90,0,0,63,0,0,0,0,207
118,Hatfields Beach,"(-36.5700194860561, 174.689355566115)",Hatfields Beach,"(-36.5700194860561, 174.689355566115)",0.0,30,0,0,0,0,0,0,0,0,0,30
119,Orewa South,"(-36.5901354600905, 174.685783997435)",Orewa South,"(-36.5901354600905, 174.685783997435)",0.0,24,0,12,0,12,90,0,0,0,0,138
120,Orewa Central,"(-36.587264766613, 174.694452800532)",Orewa Central,"(-36.587264766613, 174.694452800532)",0.0,36,0,0,0,0,0,0,0,0,0,36
121,Millwater North,"(-36.601498297058, 174.672275560308)",Millwater North,"(-36.601498297058, 174.672275560308)",0.0,60,0,9,0,0,0,0,0,0,0,72
122,Waipatukahu,"(-36.7790811440067, 174.420700666635)",Waipatukahu,"(-36.7790811440067, 174.420700666635)",0.0,24,0,0,0,0,0,0,0,0,0,24
123,Millwater South,"(-36.6123101212492, 174.670008485398)",Millwater South,"(-36.6123101212492, 174.670008485398)",0.0,27,0,153,0,0,39,0,0,0,0,222
124,Dairy Flat North,"(-36.6446947021513, 174.653742242965)",Dairy Flat North,"(-36.6446947021513, 174.653742242965)",0.0,36,0,24,0,0,0,12,0,0,0,72
125,Dairy Flat West,"(-36.6710048279732, 174.618912084368)",Dairy Flat West,"(-36.6710048279732, 174.618912084368)",0.0,24,0,0,0,0,0,0,0,0,0,24
126,Kingsway,"(-36.6060642705939, 174.686514346281)",Kingsway,"(-36.6060642705939, 174.686514346281)",0.0,30,0,30,0,0,63,0,0,0,0,129
127,Red Beach West,"(-36.6112703073831, 174.695459632743)",Red Beach West,"(-36.6112703073831, 174.695459632743)",0.0,21,0,0,0,0,0,0,0,0,0,21
128,Red Beach East,"(-36.6059211778783, 174.704889890019)",Red Beach East,"(-36.6059211778783, 174.704889890019)",0.0,57,0,105,0,6,108,0,0,0,0,270
129,Silverdale South (Auckland),"(-36.627997531631, 174.691603484106)",Silverdale South (Auckland),"(-36.627997531631, 174.691603484106)",0.0,30,0,18,0,0,0,0,0,0,0,48
130,Waimauku,"(-36.7805997016816, 174.464445079895)",Waimauku,"(-36.7805997016816, 174.464445079895)",0.0,18,0,51,0,0,75,0,0,0,0,147
131,Vipond,"(-36.6179636613626, 174.718039895155)",Vipond,"(-36.6179636613626, 174.718039895155)",0.0,51,0,0,0,0,0,0,0,0,0,57
132,Muriwai,"(-36.8252510199894, 174.429226392311)",Muriwai,"(-36.8252510199894, 174.429226392311)",0.0,15,0,0,0,0,0,0,0,0,0,15
133,Stanmore Bay West,"(-36.6230019659253, 174.727242255591)",Stanmore Bay West,"(-36.6230019659253, 174.727242255591)",0.0,45,0,54,0,6,99,0,0,0,0,207
134,Kumeu Rural West,"(-36.7903906304552, 174.521338355803)",Kumeu Rural West,"(-36.7903906304552, 174.521338355803)",0.0,21,0,0,0,0,0,0,0,0,0,21
135,Okura Bush,"(-36.6671137804466, 174.709922570918)",Okura Bush,"(-36.6671137804466, 174.709922570918)",0.0,9,0,0,0,0,0,0,0,0,0,9
136,Whangaparoa Central,"(-36.6366152307949, 174.733583274741)",Whangaparoa Central,"(-36.6366152307949, 174.733583274741)",0.0,54,0,12,0,0,0,0,0,0,0,66
137,Kumeu-Huapai,"(-36.769982926634, 174.542866658294)",Kumeu-Huapai,"(-36.769982926634, 174.542866658294)",0.0,45,0,219,0,27,39,0,0,0,0,333
138,Stanmore Bay East,"(-36.6293262022256, 174.741763630561)",Stanmore Bay East,"(-36.6293262022256, 174.741763630561)",0.0,39,0,0,0,0,108,0,0,0,0,156
139,Manly West,"(-36.633365241511, 174.753000373071)",Manly West,"(-36.633365241511, 174.753000373071)",0.0,30,0,0,0,0,0,0,0,0,0,33
140,Muriwai Valley-Bethells Beach,"(-36.8197326981988, 174.470328184298)",Muriwai Valley-Bethells Beach,"(-36.8197326981988, 174.470328184298)",0.0,15,0,0,0,0,0,0,0,0,0,15
141,Tindalls-Matakatia,"(-36.6166390407086, 174.77704003224)",Tindalls-Matakatia,"(-36.6166390407086, 174.77704003224)",0.0,27,0,0,0,0,0,0,0,0,0,27
142,Coatesville,"(-36.7227087564687, 174.643362922238)",Coatesville,"(-36.7227087564687, 174.643362922238)",0.0,27,0,108,0,0,0,9,0,0,0,147
143,Dairy Flat South,"(-36.6956026988174, 174.679164075624)",Dairy Flat South,"(-36.6956026988174, 174.679164075624)",0.0,15,0,0,0,0,0,0,0,0,0,15
144,Gulf Harbour North,"(-36.6094965791112, 174.79413674474)",Gulf Harbour North,"(-36.6094965791112, 174.79413674474)",0.0,48,0,108,0,6,81,0,0,0,0,243
145,Manly East,"(-36.6333898601176, 174.761287990824)",Manly East,"(-36.6333898601176, 174.761287990824)",0.0,57,0,75,0,21,75,0,0,0,0,231
146,Riverhead,"(-36.7581033140079, 174.583711792513)",Riverhead,"(-36.7581033140079, 174.583711792513)",0.0,48,0,129,0,18,84,0,0,0,6,285
147,Army Bay,"(-36.6050980286808, 174.823257327077)",Army Bay,"(-36.6050980286808, 174.823257327077)",0.0,18,0,0,0,0,0,0,0,0,0,18
148,Kumeu Rural East,"(-36.7765808490391, 174.574568858238)",Kumeu Rural East,"(-36.7765808490391, 174.574568858238)",0.0,18,0,9,0,0,0,0,0,0,0,33
149,Gulf Harbour South,"(-36.6231957444048, 174.795980058105)",Gulf Harbour South,"(-36.6231957444048, 174.795980058105)",0.0,33,0,0,0,0,0,0,0,0,0,33
150,Paremoremo West,"(-36.755072258248, 174.615843224262)",Paremoremo West,"(-36.755072258248, 174.615843224262)",0.0,12,0,0,0,0,0,0,0,0,0,12
151,Taupaki,"(-36.8216468242331, 174.554249600799)",Taupaki,"(-36.8216468242331, 174.554249600799)",0.0,21,0,66,0,0,12,0,0,0,0,99
152,Long Bay,"(-36.6894634819421, 174.73306961576)",Long Bay,"(-36.6894634819421, 174.73306961576)",0.0,18,0,36,0,0,51,0,0,0,0,108
153,Paremoremo East,"(-36.7498203116837, 174.660205256847)",Paremoremo East,"(-36.7498203116837, 174.660205256847)",0.0,54,0,21,0,0,9,0,0,0,0,84
154,Albany Heights,"(-36.7179647239345, 174.694013929477)",Albany Heights,"(-36.7179647239345, 174.694013929477)",0.0,42,0,0,0,0,0,0,0,0,0,42
155,Awaruku,"(-36.6999001232852, 174.727329266293)",Awaruku,"(-36.6999001232852, 174.727329266293)",0.0,57,0,6,0,0,0,0,0,0,0,66
156,Fairview Heights,"(-36.7100732235264, 174.71678985075)",Fairview Heights,"(-36.7100732235264, 174.71678985075)",0.0,39,0,9,0,0,0,0,0,0,0,51
157,Whenuapai,"(-36.7916275829943, 174.621430680602)",Whenuapai,"(-36.7916275829943, 174.621430680602)",0.0,93,0,75,0,0,33,39,0,0,0,243
158,Waitakere Ranges North,"(-36.8987688808934, 174.500010003921)",Waitakere Ranges North,"(-36.8987688808934, 174.500010003921)",0.0,12,0,0,0,0,0,0,0,0,0,12
159,Torbay,"(-36.6951241414364, 174.750929157584)",Torbay,"(-36.6951241414364, 174.750929157584)",0.0,51,0,12,0,0,0,0,0,0,0,66
160,Albany Central,"(-36.7282018578392, 174.704835178594)",Albany Central,"(-36.7282018578392, 174.704835178594)",0.0,9,21,0,0,0,114,0,6,0,0,159
161,Albany West,"(-36.7414673963809, 174.68787988426)",Albany West,"(-36.7414673963809, 174.68787988426)",0.0,36,9,93,0,18,162,0,0,0,0,318
162,Glamorgan,"(-36.701303295374, 174.740550600039)",Glamorgan,"(-36.701303295374, 174.740550600039)",0.0,51,0,60,0,0,72,0,0,0,0,183
163,Oteha East,"(-36.7165789774543, 174.722072616294)",Oteha East,"(-36.7165789774543, 174.722072616294)",0.0,45,0,48,0,0,81,0,0,0,0,174
164,Northcross,"(-36.7116574276641, 174.730768304957)",Northcross,"(-36.7116574276641, 174.730768304957)",0.0,51,0,45,0,0,99,0,0,0,0,198
